Index,Protein_ID,NUM_TM,Category,pLDDT_mean_CA,pLDDT_mean_all
1248,P30530,1,single-pass transmembrane,74.6886,75.1776
1249,P30531,12,large transmembrane,87.8765,88.4786
1250,P30532,4,medium transmembrane,81.1996,82.0442
1251,P30536,5,medium transmembrane,64.5067,64.5616
1252,P30542,7,GPCR transmembrane,92.3798,92.5218
1253,P30550,7,GPCR transmembrane,78.6545,78.9161
1254,P30556,7,GPCR transmembrane,81.7982,82.0448
1255,P30559,7,GPCR transmembrane,78.5601,79.7195
1256,P30825,13,large transmembrane,81.7691,81.6264
1257,P30872,7,GPCR transmembrane,78.2608,79.2005
1258,P30874,7,GPCR transmembrane,81.152,81.5639
1259,P30926,4,medium transmembrane,81.4261,82.1939
1260,P30939,7,GPCR transmembrane,83.0497,83.0205
1261,P30953,7,GPCR transmembrane,88.8938,89.1097
1262,P30954,7,GPCR transmembrane,85.3666,85.0907
1263,P30968,7,GPCR transmembrane,84.3334,84.7483
1264,P30988,7,GPCR transmembrane,77.4648,77.9923
1265,P30989,7,GPCR transmembrane,79.2463,79.9279
1266,P31213,7,GPCR transmembrane,92.771,92.9044
1267,P31358,1,single-pass transmembrane,67.671,68.5815
1268,P31391,7,GPCR transmembrane,77.3647,78.4429
1269,P31431,1,single-pass transmembrane,62.8977,63.1446
1270,P31512,1,single-pass transmembrane,91.019,91.0381
1271,P31513,1,single-pass transmembrane,95.5843,95.448
1272,P31639,14,large transmembrane,83.4883,84.0102
1273,P31641,12,large transmembrane,87.2715,87.4607
1274,P31644,4,medium transmembrane,81.5766,82.2698
1275,P31645,12,large transmembrane,84.7441,85.432
1276,P31785,1,single-pass transmembrane,75.5617,76.8158
1277,P31994,1,single-pass transmembrane,78.6692,79.0306
1278,P31995,1,single-pass transmembrane,77.0968,77.2912
1279,P32004,1,single-pass transmembrane,78.9395,79.3528
1280,P32189,1,single-pass transmembrane,91.1569,91.5321
1281,P32238,7,GPCR transmembrane,77.8759,78.5437
1282,P32239,7,GPCR transmembrane,75.2788,76.087
1283,P32241,7,GPCR transmembrane,76.1273,76.841
1284,P32245,7,GPCR transmembrane,79.8399,79.9297
1285,P32246,7,GPCR transmembrane,82.8249,83.1144
1286,P32247,7,GPCR transmembrane,78.5425,79.2658
1287,P32248,8,large transmembrane,78.5007,78.5917
1288,P32249,7,GPCR transmembrane,86.2909,86.5972
1289,P32297,4,medium transmembrane,81.1686,82.0133
1290,P32302,7,GPCR transmembrane,80.6388,80.3923
1291,P32418,10,large transmembrane,75.2298,75.1584
1292,P32745,7,GPCR transmembrane,73.8451,74.0634
1293,P32856,1,single-pass transmembrane,83.5901,83.9171
1294,P32926,2,medium transmembrane,66.1472,67.251
1295,P32927,1,single-pass transmembrane,64.1071,65.634
1296,P32942,1,single-pass transmembrane,87.1184,87.0729
1297,P32970,1,single-pass transmembrane,83.145,83.4257
1298,P32971,1,single-pass transmembrane,78.5108,79.776
1299,P33032,7,GPCR transmembrane,82.764,82.8171
1300,P33121,1,single-pass transmembrane,90.527,90.3698
1301,P33151,1,single-pass transmembrane,77.4786,78.0884
1302,P33527,17,large transmembrane,82.6312,83.0097
1303,P33681,1,single-pass transmembrane,86.2762,86.3008
1304,P33897,7,GPCR transmembrane,80.7619,81.734
1305,P33908,1,single-pass transmembrane,84.984,86.0132
1306,P33947,7,GPCR transmembrane,93.2992,93.4294
1307,P34741,1,single-pass transmembrane,60.9699,60.9414
1308,P34810,1,single-pass transmembrane,73.3176,74.339
1309,P34903,4,medium transmembrane,76.7016,77.5766
1310,P34910,1,single-pass transmembrane,50.9485,51.024
1311,P34925,1,single-pass transmembrane,80.5611,81.3921
1312,P34969,7,GPCR transmembrane,73.0224,73.2792
1313,P34972,7,GPCR transmembrane,84.3634,84.4753
1314,P34981,7,GPCR transmembrane,79.5426,79.6671
1315,P34982,7,GPCR transmembrane,86.056,86.1699
1316,P34995,7,GPCR transmembrane,74.682,74.9847
1317,P34998,7,GPCR transmembrane,75.0355,75.64
1318,P35070,1,single-pass transmembrane,71.8191,72.3894
1319,P35212,4,medium transmembrane,74.9515,75.4337
1320,P35346,7,GPCR transmembrane,80.6049,81.3028
1321,P35348,7,GPCR transmembrane,68.3624,68.7196
1322,P35367,7,GPCR transmembrane,70.0022,71.0316
1323,P35368,7,GPCR transmembrane,66.5285,67.3244
1324,P35372,7,GPCR transmembrane,75.5751,76.479
1325,P35408,7,GPCR transmembrane,70.4783,71.0932
1326,P35410,7,GPCR transmembrane,66.224,66.1008
1327,P35414,7,GPCR transmembrane,82.1804,82.578
1328,P35462,7,GPCR transmembrane,75.3239,75.6421
1329,P35498,24,large transmembrane,68.7636,69.2496
1330,P35499,24,large transmembrane,72.4314,73.0808
1331,P35503,1,single-pass transmembrane,91.4903,91.452
1332,P35504,1,single-pass transmembrane,91.5346,91.5969
1333,P35523,10,large transmembrane,68.5964,68.5824
1334,P35575,9,large transmembrane,92.6221,92.613
1335,P35590,1,single-pass transmembrane,81.4534,81.89
1336,P35610,10,large transmembrane,81.0598,81.6584
1337,P35613,1,single-pass transmembrane,85.8332,86.2537
1338,P35670,8,large transmembrane,71.6761,71.8327
1339,P35916,1,single-pass transmembrane,72.3439,72.7406
1340,P35968,1,single-pass transmembrane,71.6286,72.1787
1341,P36021,12,large transmembrane,80.1838,80.0514
1342,P36268,1,single-pass transmembrane,93.0764,93.1825
1343,P36269,1,single-pass transmembrane,91.6378,91.9827
1344,P36382,5,medium transmembrane,69.9748,70.5988
1345,P36383,4,medium transmembrane,68.9416,69.0194
1346,P36537,1,single-pass transmembrane,92.4437,92.3871
1347,P36544,4,medium transmembrane,78.2273,79.0605
1348,P36888,1,single-pass transmembrane,75.1875,75.5247
1349,P36894,1,single-pass transmembrane,83.0317,83.2701
1350,P36896,1,single-pass transmembrane,83.2589,83.9695
1351,P36897,1,single-pass transmembrane,84.2804,85.1233
1352,P36941,1,single-pass transmembrane,66.6063,66.9892
1353,P36956,2,medium transmembrane,64.0787,65.4714
1354,P37023,1,single-pass transmembrane,82.0487,82.8382
1355,P37059,3,medium transmembrane,87.5465,87.4447
1356,P37088,2,medium transmembrane,74.7021,75.7927
1357,P37173,1,single-pass transmembrane,81.4344,81.6713
1358,P37268,1,single-pass transmembrane,89.5768,89.5664
1359,P37288,7,GPCR transmembrane,73.8706,74.6177
1360,P38435,9,large transmembrane,85.7516,86.3522
1361,P38484,1,single-pass transmembrane,83.6408,83.9358
1362,P38567,1,single-pass transmembrane,88.4998,88.7204
1363,P38570,1,single-pass transmembrane,80.7036,80.5834
1364,P39086,3,medium transmembrane,81.2644,81.5383
1365,P39210,5,medium transmembrane,90.3468,90.1521
1366,P39656,1,single-pass transmembrane,89.3508,89.4521
1367,P40126,1,single-pass transmembrane,89.2229,89.4648
1368,P40145,12,large transmembrane,71.4485,72.0472
1369,P40189,1,single-pass transmembrane,74.5131,74.8364
1370,P40197,1,single-pass transmembrane,86.5589,87.0134
1371,P40198,2,medium transmembrane,78.2997,78.3443
1372,P40200,1,single-pass transmembrane,65.65,66.5442
1373,P40238,1,single-pass transmembrane,72.3506,73.0897
1374,P40259,1,single-pass transmembrane,75.3882,76.0059
1375,P40305,3,medium transmembrane,51.8408,52.1421
1376,P40879,12,large transmembrane,84.8295,84.7021
1377,P40967,1,single-pass transmembrane,68.2695,68.9727
1378,P41143,7,GPCR transmembrane,79.3799,80.4017
1379,P41145,7,GPCR transmembrane,79.5098,80.0735
1380,P41146,7,GPCR transmembrane,81.819,81.7296
1381,P41180,7,GPCR transmembrane,75.9151,76.2242
1382,P41181,6,medium transmembrane,91.8106,91.3024
1383,P41217,1,single-pass transmembrane,86.5569,86.3621
1384,P41231,7,GPCR transmembrane,78.9442,79.1966
1385,P41273,1,single-pass transmembrane,76.5843,77.1876
1386,P41440,12,large transmembrane,72.4834,73.6063
1387,P41586,6,medium transmembrane,75.2546,76.0945
1388,P41587,7,GPCR transmembrane,74.2581,74.5747
1389,P41594,7,GPCR transmembrane,71.1547,72.2687
1390,P41595,7,GPCR transmembrane,71.8365,71.7361
1391,P41597,7,GPCR transmembrane,77.8258,78.2825
1392,P41732,4,medium transmembrane,89.4008,89.3491
1393,P41968,7,GPCR transmembrane,83.8598,84.3148
1394,P42081,1,single-pass transmembrane,79.7637,79.8096
1395,P42261,3,medium transmembrane,80.9101,81.6818
1396,P42262,3,medium transmembrane,84.7834,85.0913
1397,P42263,3,medium transmembrane,83.4757,83.8045
1398,P42658,1,single-pass transmembrane,86.4339,87.1398
1399,P42701,1,single-pass transmembrane,76.7928,77.2555
1400,P42702,1,single-pass transmembrane,73.5772,73.9404
1401,P42857,1,single-pass transmembrane,61.2528,61.1805
1402,P42892,1,single-pass transmembrane,90.7779,91.0602
1403,P43003,10,large transmembrane,81.957,81.8501
1404,P43004,10,large transmembrane,77.8436,77.7399
1405,P43005,8,large transmembrane,80.4022,80.3345
1406,P43007,10,large transmembrane,80.6277,81.0522
1407,P43088,7,GPCR transmembrane,80.4027,80.5401
1408,P43115,7,GPCR transmembrane,75.7551,75.7395
1409,P43116,7,GPCR transmembrane,77.1958,77.7153
1410,P43119,7,GPCR transmembrane,76.4997,77.1024
1411,P43121,1,single-pass transmembrane,80.185,80.7551
1412,P43146,1,single-pass transmembrane,68.0098,68.4077
1413,P43220,7,GPCR transmembrane,81.6384,82.7745
1414,P43307,1,single-pass transmembrane,76.1614,76.239
1415,P43308,1,single-pass transmembrane,91.2684,91.1871
1416,P43489,1,single-pass transmembrane,76.8593,77.2243
1417,P43626,1,single-pass transmembrane,75.6078,75.7254
1418,P43627,1,single-pass transmembrane,74.6382,74.8385
1419,P43628,1,single-pass transmembrane,76.7126,76.6288
1420,P43629,1,single-pass transmembrane,75.4239,75.5036
1421,P43630,1,single-pass transmembrane,74.2979,74.3878
1422,P43631,1,single-pass transmembrane,80.5386,80.7696
1423,P43632,1,single-pass transmembrane,81.5594,81.7839
1424,P43657,7,GPCR transmembrane,84.1793,84.2518
1425,P43681,4,medium transmembrane,72.1584,73.6302
1426,P45844,6,medium transmembrane,81.4285,81.6896
1427,P46059,12,large transmembrane,87.3817,87.4372
1428,P46089,7,GPCR transmembrane,81.9003,82.1875
1429,P46091,7,GPCR transmembrane,84.2071,83.8707
1430,P46092,7,GPCR transmembrane,75.6704,75.4607
1431,P46093,7,GPCR transmembrane,80.9008,81.1939
1432,P46094,7,GPCR transmembrane,85.5167,85.7071
1433,P46095,7,GPCR transmembrane,77.3857,78.6438
1434,P46098,4,medium transmembrane,82.8092,83.4645
1435,P46531,1,single-pass transmembrane,57.4033,57.4983
1436,P46663,7,GPCR transmembrane,84.2855,84.4137
1437,P46721,12,large transmembrane,80.8557,80.6856
1438,P46977,13,large transmembrane,88.1895,88.2943
1439,P47211,7,GPCR transmembrane,84.0242,84.3145
1440,P47775,7,GPCR transmembrane,84.4307,84.6035
1441,P47804,7,GPCR transmembrane,89.8416,89.5886
1442,P47869,4,medium transmembrane,83.4635,83.9056
1443,P47870,4,medium transmembrane,76.3302,76.5048
1444,P47871,7,GPCR transmembrane,81.9239,82.6095
1445,P47872,7,GPCR transmembrane,76.5173,77.1479
1446,P47881,7,GPCR transmembrane,86.0525,86.2571
1447,P47883,7,GPCR transmembrane,71.8111,72.3207
1448,P47884,7,GPCR transmembrane,81.8114,81.5149
1449,P47887,7,GPCR transmembrane,85.409,85.5328
1450,P47888,7,GPCR transmembrane,86.7021,86.7443
1451,P47890,7,GPCR transmembrane,82.9296,83.0608
1452,P47893,7,GPCR transmembrane,84.6265,84.5322
1453,P47898,7,GPCR transmembrane,78.7847,78.893
1454,P47900,7,GPCR transmembrane,85.3961,86.1837
1455,P47901,7,GPCR transmembrane,74.0335,74.5409
1456,P48023,1,single-pass transmembrane,80.3629,80.6314
1457,P48029,12,large transmembrane,85.1819,86.1386
1458,P48039,7,GPCR transmembrane,85.1862,85.4898
1459,P48048,2,medium transmembrane,85.6848,85.5237
1460,P48050,2,medium transmembrane,79.0508,80.1717
1461,P48051,2,medium transmembrane,83.5632,83.7092
1462,P48058,3,medium transmembrane,82.7087,83.2821
1463,P48060,1,single-pass transmembrane,87.4724,87.0686
1464,P48065,12,large transmembrane,87.3426,87.8618
1465,P48066,12,large transmembrane,86.5409,87.2322
1466,P48067,13,large transmembrane,81.1075,81.8817
1467,P48145,7,GPCR transmembrane,84.031,84.5091
1468,P48146,7,GPCR transmembrane,82.8767,83.3115
1469,P48165,5,medium transmembrane,63.6109,64.5364
1470,P48167,4,medium transmembrane,77.754,78.5464
1471,P48169,4,medium transmembrane,72.8405,73.9881
1472,P48201,2,medium transmembrane,71.2059,70.8347
1473,P48230,4,medium transmembrane,77.4236,78.1071
1474,P48357,1,single-pass transmembrane,65.9574,66.4622
1475,P48509,4,medium transmembrane,88.2562,87.996
1476,P48544,2,medium transmembrane,81.5152,82.2205
1477,P48546,7,GPCR transmembrane,78.6538,79.4344
1478,P48547,6,medium transmembrane,78.5224,79.4631
1479,P48549,2,medium transmembrane,71.7323,72.6244
1480,P48551,1,single-pass transmembrane,64.2519,64.6701
1481,P48651,10,large transmembrane,80.0285,80.3456
1482,P48664,10,large transmembrane,80.1472,80.2727
1483,P48751,13,large transmembrane,66.8719,67.4738
1484,P48764,12,large transmembrane,66.1786,66.202
1485,P48960,7,GPCR transmembrane,78.8097,79.1207
1486,P48995,6,medium transmembrane,79.0367,79.3747
1487,P49019,7,GPCR transmembrane,79.105,79.5503
1488,P49069,3,medium transmembrane,61.3074,62.3986
1489,P49146,7,GPCR transmembrane,82.2265,82.4172
1490,P49190,7,GPCR transmembrane,71.1553,72.0484
1491,P49238,7,GPCR transmembrane,80.0746,80.2182
1492,P49257,1,single-pass transmembrane,79.3503,79.7109
1493,P49279,12,large transmembrane,82.6943,82.9214
1494,P49281,12,large transmembrane,80.8479,81.101
1495,P49286,7,GPCR transmembrane,83.6955,84.4482
1496,P49326,2,medium transmembrane,94.9694,95.026
1497,P49447,6,medium transmembrane,92.6785,93.0486
1498,P49641,2,medium transmembrane,91.0461,91.2903
1499,P49682,7,GPCR transmembrane,80.8318,80.6454
1500,P49683,7,GPCR transmembrane,80.8292,81.8738
1501,P49685,7,GPCR transmembrane,82.5347,82.3074
1502,P49755,1,single-pass transmembrane,87.4916,87.9446
1503,P49768,9,large transmembrane,72.4533,72.5865
1504,P49771,1,single-pass transmembrane,81.3363,82.0415
1505,P49810,9,large transmembrane,71.7587,71.9552
1506,P49961,2,medium transmembrane,90.7546,90.5941
1507,P50052,7,GPCR transmembrane,81.6558,81.9701
1508,P50281,1,single-pass transmembrane,80.9504,81.7676
1509,P50391,7,GPCR transmembrane,80.2029,80.3514
1510,P50402,1,single-pass transmembrane,60.4759,61.4147
1511,P50406,7,GPCR transmembrane,72.7955,73.4355
1512,P50416,2,medium transmembrane,92.268,92.3895
1513,P50443,12,large transmembrane,81.0039,81.1014
1514,P50591,1,single-pass transmembrane,81.8737,82.3967
1515,P50876,1,single-pass transmembrane,80.8699,80.9424
1516,P50895,1,single-pass transmembrane,83.8474,84.5845
1517,P50993,10,large transmembrane,88.6961,88.9258
1518,P51164,1,single-pass transmembrane,90.5464,90.653
1519,P51168,2,medium transmembrane,82.3205,82.8113
1520,P51170,3,medium transmembrane,80.0925,80.3874
1521,P51172,2,medium transmembrane,66.0653,66.8207
1522,P51511,1,single-pass transmembrane,74.9985,75.9911
1523,P51512,1,single-pass transmembrane,77.1647,77.5459
1524,P51571,1,single-pass transmembrane,88.2217,88.7353
1525,P51572,3,medium transmembrane,84.7198,85.0745
1526,P51575,2,medium transmembrane,88.1607,88.4282
1527,P51582,7,GPCR transmembrane,82.5149,83.5704
1528,P51589,1,single-pass transmembrane,93.5869,93.7891
1529,P51636,1,single-pass transmembrane,78.2985,78.176
1530,P51648,1,single-pass transmembrane,96.7052,96.5774
1531,P51654,4,medium transmembrane,75.1105,75.6637
1532,P51674,4,medium transmembrane,83.0258,83.2078
1533,P51677,7,GPCR transmembrane,83.3312,83.6132
1534,P51679,7,GPCR transmembrane,80.3781,80.5569
1535,P51681,7,GPCR transmembrane,85.2185,85.2944
1536,P51684,7,GPCR transmembrane,79.0745,79.0008
1537,P51685,7,GPCR transmembrane,81.5157,81.6105
1538,P51686,7,GPCR transmembrane,82.5264,82.8347
1539,P51689,2,medium transmembrane,92.8245,93.104
1540,P51690,2,medium transmembrane,93.1711,93.2659
1541,P51693,1,single-pass transmembrane,68.4022,69.7225
1542,P51787,6,medium transmembrane,67.7608,68.8446
1543,P51788,10,large transmembrane,72.939,73.0166
1544,P51790,14,large transmembrane,80.1106,80.0069
1545,P51793,10,large transmembrane,84.9607,84.8194
1546,P51795,15,large transmembrane,80.6312,80.4701
1547,P51797,12,large transmembrane,78.0821,77.707
1548,P51798,10,large transmembrane,80.9769,80.9691
1549,P51800,10,large transmembrane,87.3097,87.2462
1550,P51801,10,large transmembrane,87.1448,87.1014
1551,P51809,1,single-pass transmembrane,84.3682,84.7011
1552,P51810,7,GPCR transmembrane,73.4215,74.1807
1553,P51811,8,large transmembrane,81.4768,81.7337
1554,P51828,12,large transmembrane,77.1183,77.1795
1555,P51841,2,medium transmembrane,82.3985,82.5441
1556,P52429,1,single-pass transmembrane,85.6841,85.8511
1557,P52569,14,large transmembrane,81.0367,80.8565
1558,P52798,1,single-pass transmembrane,82.6881,83.8176
1559,P52799,1,single-pass transmembrane,70.8144,71.6456
1560,P52803,1,single-pass transmembrane,78.8471,79.8009
1561,P52849,1,single-pass transmembrane,90.1622,90.677
1562,P53708,1,single-pass transmembrane,85.025,85.0972
1563,P53794,14,large transmembrane,79.1369,79.1146
1564,P53801,1,single-pass transmembrane,76.871,77.169
1565,P53816,1,single-pass transmembrane,75.391,77.0264
1566,P53985,12,large transmembrane,83.0968,83.3054
1567,P54219,12,large transmembrane,76.8841,76.5668
1568,P54289,1,single-pass transmembrane,86.4937,86.8897
1569,P54707,10,large transmembrane,85.7976,85.8421
1570,P54709,1,single-pass transmembrane,89.3218,89.5214
1571,P54710,1,single-pass transmembrane,75.5736,76.0333
1572,P54753,1,single-pass transmembrane,81.196,81.7084
1573,P54760,1,single-pass transmembrane,82.8138,83.3086
1574,P54762,1,single-pass transmembrane,83.4834,83.7963
1575,P54764,1,single-pass transmembrane,83.7625,84.1944
1576,P54793,2,medium transmembrane,90.9032,90.7358
1577,P54829,2,medium transmembrane,72.0338,72.6534
1578,P54849,4,medium transmembrane,90.0127,89.9894
1579,P54851,4,medium transmembrane,94.8505,94.7046
1580,P54852,4,medium transmembrane,91.7629,91.5539
1581,P54855,1,single-pass transmembrane,93.5986,93.6438
1582,P55011,12,large transmembrane,73.6314,74.7185
1583,P55017,12,large transmembrane,81.0275,81.2709
1584,P55061,7,GPCR transmembrane,91.9718,91.6643
1585,P55064,6,medium transmembrane,94.1911,93.5051
1586,P55082,1,single-pass transmembrane,61.09,61.6432
1587,P55085,7,GPCR transmembrane,81.2393,82.0756
1588,P55087,6,medium transmembrane,80.3506,79.8642
1589,P55283,1,single-pass transmembrane,79.1509,79.4433
1590,P55285,1,single-pass transmembrane,78.8739,78.7636
1591,P55286,1,single-pass transmembrane,77.3826,77.3244
1592,P55287,1,single-pass transmembrane,77.061,76.9469
1593,P55289,1,single-pass transmembrane,77.737,77.6316
1594,P55291,1,single-pass transmembrane,77.568,77.839
1595,P55344,4,medium transmembrane,90.1048,89.8802
1596,P55808,1,single-pass transmembrane,58.6424,58.7374
1597,P55899,1,single-pass transmembrane,85.2618,85.9905
1598,P56134,2,medium transmembrane,74.1798,74.1684
1599,P56159,1,single-pass transmembrane,73.023,73.8963
1600,P56199,1,single-pass transmembrane,84.0596,84.1038
1601,P56373,2,medium transmembrane,88.4574,88.8239
1602,P56378,1,single-pass transmembrane,85.6395,85.3633
1603,P56385,1,single-pass transmembrane,91.888,91.7954
1604,P56557,4,medium transmembrane,82.6263,82.3311
1605,P56696,6,medium transmembrane,64.9681,66.0857
1606,P56746,4,medium transmembrane,81.4676,81.81
1607,P56747,4,medium transmembrane,80.564,80.7301
1608,P56748,4,medium transmembrane,80.1899,79.4196
1609,P56749,4,medium transmembrane,81.0228,80.8385
1610,P56750,4,medium transmembrane,79.2658,78.6169
1611,P56817,1,single-pass transmembrane,87.5275,87.7568
1612,P56856,4,medium transmembrane,73.5078,72.8968
1613,P56880,4,medium transmembrane,82.4286,81.8364
1614,P56962,3,medium transmembrane,69.2995,70.7701
1615,P56975,2,medium transmembrane,50.2127,50.6787
1616,P57054,2,medium transmembrane,83.5328,83.5923
1617,P57057,12,large transmembrane,79.8013,79.8842
1618,P57087,1,single-pass transmembrane,83.3357,83.2157
1619,P57088,6,medium transmembrane,89.119,89.6104
1620,P57103,10,large transmembrane,76.4034,76.5227
1621,P57105,1,single-pass transmembrane,78.8256,78.9043
1622,P57679,3,medium transmembrane,73.5779,74.475
1623,P57727,1,single-pass transmembrane,86.4464,86.9067
1624,P57738,2,medium transmembrane,65.52,65.8639
1625,P57739,4,medium transmembrane,79.0703,78.6735
1626,P57773,4,medium transmembrane,61.2974,61.9943
1627,P57789,5,medium transmembrane,68.9743,69.1491
1628,P58170,7,GPCR transmembrane,80.2923,79.9928
1629,P58173,7,GPCR transmembrane,87.6083,87.5318
1630,P58180,7,GPCR transmembrane,89.1895,89.2701
1631,P58181,7,GPCR transmembrane,89.1943,89.03
1632,P58182,7,GPCR transmembrane,86.6015,86.6594
1633,P58335,2,medium transmembrane,71.9365,71.8915
1634,P58418,4,medium transmembrane,90.151,90.1344
1635,P58511,1,single-pass transmembrane,82.5457,82.0217
1636,P58549,1,single-pass transmembrane,70.0789,71.2051
1637,P58550,1,single-pass transmembrane,71.5871,71.7716
1638,P58658,2,medium transmembrane,68.5137,68.6676
1639,P58743,13,large transmembrane,83.5134,83.6708
1640,P58872,7,GPCR transmembrane,79.9824,80.0283
1641,P59025,1,single-pass transmembrane,76.1029,76.5405
1642,P59533,7,GPCR transmembrane,81.3673,81.0032
1643,P59534,7,GPCR transmembrane,80.6969,80.901
1644,P59535,7,GPCR transmembrane,81.2417,81.3804
1645,P59536,7,GPCR transmembrane,84.3789,84.194
1646,P59537,7,GPCR transmembrane,87.1857,87.2919
1647,P59538,7,GPCR transmembrane,87.5042,87.5374
1648,P59539,7,GPCR transmembrane,86.5809,86.3848
1649,P59540,7,GPCR transmembrane,86.5151,86.4746
1650,P59541,7,GPCR transmembrane,85.3972,85.2546
1651,P59542,7,GPCR transmembrane,85.4051,85.2564
1652,P59543,7,GPCR transmembrane,87.294,87.313
1653,P59544,7,GPCR transmembrane,85.1408,85.1538
1654,P59551,7,GPCR transmembrane,78.2342,78.4265
1655,P59646,1,single-pass transmembrane,70.1229,70.1446
1656,P59773,1,single-pass transmembrane,61.1149,61.488
1657,P59901,1,single-pass transmembrane,83.3642,83.3684
1658,P59922,7,GPCR transmembrane,88.1596,88.0673
1659,P60033,4,medium transmembrane,87.383,87.2731
1660,P60059,1,single-pass transmembrane,91.6678,91.8008
1661,P60201,4,medium transmembrane,77.4598,77.8331
1662,P60468,1,single-pass transmembrane,57.5693,58.1575
1663,P60507,1,single-pass transmembrane,65.3408,66.2212
1664,P60508,1,single-pass transmembrane,49.1501,49.2335
1665,P60509,3,medium transmembrane,62.847,63.1233
1666,P60602,2,medium transmembrane,78.149,77.8845
1667,P60606,1,single-pass transmembrane,70.5618,70.7649
1668,P60852,1,single-pass transmembrane,72.3245,73.0053
1669,P60893,7,GPCR transmembrane,84.0015,84.2621
1670,P61009,1,single-pass transmembrane,91.1562,91.1001
1671,P61073,7,GPCR transmembrane,82.2245,82.8084
1672,P61165,2,medium transmembrane,86.4327,86.2512
1673,P61266,1,single-pass transmembrane,84.6362,84.669
1674,P61550,1,single-pass transmembrane,69.2587,69.478
1675,P61565,1,single-pass transmembrane,68.3242,68.8717
1676,P61619,9,large transmembrane,72.1438,72.397
1677,P61647,1,single-pass transmembrane,85.7561,86.2438
1678,P61803,3,medium transmembrane,95.3781,95.5049
1679,P62079,4,medium transmembrane,88.9729,89.2421
1680,P62952,3,medium transmembrane,61.9549,62.396
1681,P62955,4,medium transmembrane,71.7339,71.2257
1682,P63027,1,single-pass transmembrane,76.9598,77.995
1683,P63135,3,medium transmembrane,72.696,72.8946
1684,P63252,2,medium transmembrane,81.3307,81.8281
1685,P67812,2,medium transmembrane,90.8573,90.6503
1686,P69849,1,single-pass transmembrane,80.0041,80.3713
1687,P78310,1,single-pass transmembrane,79.2691,79.4856
1688,P78324,1,single-pass transmembrane,78.2747,78.6312
1689,P78325,1,single-pass transmembrane,73.6937,74.2694
1690,P78329,1,single-pass transmembrane,92.2434,92.4007
1691,P78334,4,medium transmembrane,71.9654,72.562
1692,P78348,3,medium transmembrane,83.7051,84.0594
1693,P78357,1,single-pass transmembrane,81.2585,81.6097
1694,P78363,12,large transmembrane,75.4692,75.7679
1695,P78369,4,medium transmembrane,80.1723,79.6963
1696,P78380,1,single-pass transmembrane,87.3616,87.4071
1697,P78381,10,large transmembrane,79.2538,80.2779
1698,P78382,10,large transmembrane,87.9025,88.1399
1699,P78383,10,large transmembrane,86.0351,86.2311
1700,P78410,1,single-pass transmembrane,89.9042,90.2338
1701,P78423,1,single-pass transmembrane,55.4218,56.2495
1702,P78504,1,single-pass transmembrane,73.4239,73.2918
1703,P78508,2,medium transmembrane,82.1113,82.3222
1704,P78536,2,medium transmembrane,72.548,72.5953
1705,P78552,1,single-pass transmembrane,81.7702,82.3344
1706,P78562,1,single-pass transmembrane,94.4755,94.7313
1707,P79483,1,single-pass transmembrane,88.3783,89.2051
1708,P80365,3,medium transmembrane,86.5756,86.6351
1709,P80370,1,single-pass transmembrane,75.0557,74.4747
1710,P81408,4,medium transmembrane,54.281,54.1864
1711,P82251,12,large transmembrane,86.078,85.8882
1712,P82279,1,single-pass transmembrane,74.9864,75.1061
1713,P84157,1,single-pass transmembrane,63.734,65.2642
1714,P98073,1,single-pass transmembrane,81.561,82.0952
1715,P98153,1,single-pass transmembrane,63.4216,64.0831
1716,P98155,1,single-pass transmembrane,76.3376,76.7866
1717,P98172,1,single-pass transmembrane,70.1412,71.1793
1718,P98187,1,single-pass transmembrane,91.1242,91.293
1719,P98194,10,large transmembrane,83.7845,83.7639
1720,P98196,11,large transmembrane,82.5122,83.1058
1721,P98198,11,large transmembrane,81.7391,82.0291
1722,Q00325,6,medium transmembrane,81.2831,81.6146
1723,Q00765,2,medium transmembrane,79.5768,79.5647
1724,Q00973,1,single-pass transmembrane,88.4256,88.6001
1725,Q00975,24,large transmembrane,59.6101,60.3841
1726,Q01113,2,medium transmembrane,63.0562,64.2091
1727,Q01118,24,large transmembrane,74.2422,74.6894
1728,Q01151,1,single-pass transmembrane,73.1633,73.0467
1729,Q01344,1,single-pass transmembrane,83.8715,83.9744
1730,Q01362,4,medium transmembrane,75.2536,74.8883
1731,Q01453,4,medium transmembrane,89.6423,89.5014
1732,Q01628,2,medium transmembrane,59.4829,59.7708
1733,Q01629,2,medium transmembrane,61.5564,61.7698
1734,Q01638,1,single-pass transmembrane,82.4553,82.647
1735,Q01650,12,large transmembrane,85.6933,86.24
1736,Q01668,24,large transmembrane,64.1416,64.409
1737,Q01718,7,GPCR transmembrane,84.8414,84.5541
1738,Q01726,7,GPCR transmembrane,80.1106,80.219
1739,Q01740,1,single-pass transmembrane,94.5265,94.5419
1740,Q01814,11,large transmembrane,73.5012,73.9486
1741,Q01959,12,large transmembrane,86.5546,87.1817
1742,Q01973,1,single-pass transmembrane,68.8514,69.8168
1743,Q01974,1,single-pass transmembrane,68.6227,69.3972
1744,Q02094,12,large transmembrane,95.0897,94.8663
1745,Q02161,12,large transmembrane,85.1955,85.0332
1746,Q02221,1,single-pass transmembrane,85.4412,87.0923
